Sample Station Label,Year,BHC20_100,day1,day2,day3,day4,tssr1,tssr2,tssr3,tssr4,dur1,dur2,dur3,dur4,visit1,visit2,visit3,visit4
PC11-K_07,2011,DYF,0.410958904,0.454794521,0.528767123,,0.059722222,0.078472222,0.088888889,,0.08,0.08,0.08,,0,0,0,
PC11-K_08,2011,DYF,0.410958904,,,,0.072916667,,,,0.08,,,,0,,,
PC11-K_16,2011,CMF,0.410958904,0.454794521,0.528767123,,0.163194444,0.163888889,0.157638889,,0.08,0.08,0.08,,0,0,0,
PC11-K_23,2011,RSH,,,0.528767123,,,,1.11022E-16,,,,0.08,,,,0,
PC11-K_24,2011,DYF,,0.454794521,,,,0.03125,,,,0.08,,,,0,,
PC11-M_02,2011,CMF,0.378082192,,,,0.009027778,,,,0.08,,,,0,,,
PC11-M_03,2011,RYF,0.378082192,,0.457534247,,0.015277778,,0.021527778,,0.08,,0.08,,0,,0,
PC11-M_04,2011,CMF,0.378082192,,0.457534247,,0.022916667,,0.03125,,0.08,,0.08,,0,,0,
PC11-M_06,2011,DYF,0.378082192,,,,0.047222222,,,,0.08,,,,0,,,
PC11-M_07,2011,DYF,0.378082192,,0.457534247,,0.056944444,,0.084722222,,0.08,,0.08,,0,,0,
PC11-M_08,2011,RYF,0.378082192,,0.457534247,,0.065277778,,0.096527778,,0.08,,0.08,,0,,0,
PC11-M_09,2011,RYF,0.378082192,,0.457534247,,0.074305556,,0.104166667,,0.08,,0.08,,0,,0,
PC11-M_10,2011,RYF,0.378082192,,0.457534247,,0.081944444,,0.111805556,,0.08,,0.08,,0,,0,
PC11-M_11,2011,DYF,0.378082192,,0.457534247,,0.092361111,,0.121527778,,0.08,,0.08,,0,,0,
PC11-M_12,2011,DSS,0.378082192,0.4,0.457534247,,0.102083333,0.128472222,0.131944444,,0.08,0.08,0.08,,0,0,0,
PC11-M_13,2011,CYF,0.378082192,,0.457534247,,0.114583333,,0.143055556,,0.08,,0.08,,0,,0,
PC11-M_14,2011,NVE,0.378082192,,0.457534247,,0.124305556,,0.151388889,,0.08,,0.08,,0,,0,
PC11-M_15,2011,DMF,0.378082192,,0.457534247,,0.131944444,,0.159722222,,0.08,,0.08,,0,,0,
PC11-M_16,2011,CMF,0.378082192,,0.457534247,,0.139583333,,0.166666667,,0.08,,0.08,,0,,0,
PC11-M_17,2011,DMF,0.378082192,,,,0.151388889,,,,0.08,,,,0,,,
PC11-M_18,2011,CMF,,0.4,,,,0.010416667,,,,0.08,,,,0,,
PC11-M_19,2011,CMF,,0.4,,,,0.019444444,,,,0.08,,,,0,,
