species,BHC,mean,LCL,UCL
CEWA,FBS/FBT,0.195767118,0.0654166,0.58585687
CEWA,WGR,0.090391835,0.023314934,0.350448512
CEWA,WSH,0.077834228,0.021438254,0.282586766
CEWA,WRI,0.036118245,0.012831141,0.101668873
CEWA,DSG/DSS,0.052369464,0.025313483,0.108343871
CEWA,CUL,0.032562164,0.011016761,0.096243757
CEWA,NVE,0.035372183,0.009291363,0.134661755
RCKI,CSH,0.058333423,0.006372545,0.533976353
RCKI,CYF,0.017668155,0.006998118,0.044606807
RCKI,CMF,0.016880212,0.006727374,0.042355539
RCKI,DSH,0.005784867,7.53E-04,0.044456116
RCKI,DYF,0.002628243,9.60E-04,0.007197057
RCKI,DMF,0.007987696,0.002507705,0.025442896
RCKI,RSH,0.004752114,9.28E-04,0.024335356
RCKI,RYF,0.003795349,4.82E-04,0.029912813
RCKI,RMF,0.00283269,3.48E-04,0.02308533
RCKI,FBS/FBT,0.077780238,0.015179053,0.398560132
RCKI,WGR,0.014700641,0.00155155,0.139285796
RCKI,WSH,0.057810797,0.010024692,0.333385627
RCKI,WRI,0.005779363,8.22E-04,0.040657405
RCKI,DSG/DSS,7.62E-11,0,0
RCKI,CUL,0.002847082,3.06E-04,0.026513792
RCKI,NVE,6.48E-12,0,0
WWPE,CSH,0.025978196,0.002822155,0.239131674
WWPE,CYF,0.050667655,0.030942881,0.082966138
WWPE,CMF,0.031320656,0.018657196,0.052579364
WWPE,DSH,0.012568282,0.002580676,0.061209422
WWPE,DYF,0.065649675,0.045463811,0.094798033
WWPE,DMF,0.038196053,0.020070783,0.072689664
WWPE,RSH,0.012232423,0.003558283,0.042051793
WWPE,RYF,0.005092297,6.70E-04,0.038678403
WWPE,RMF,0.004072617,5.43E-04,0.03052593
WWPE,FBS/FBT,0.02899544,0.005825582,0.144317857
WWPE,WGR,0.067882596,0.018277087,0.252121518
WWPE,WSH,0.256167415,0.100563692,0.652539136
WWPE,WRI,0.020656508,0.005742227,0.074307641
WWPE,DSG/DSS,0.015655866,0.005616503,0.043640344
WWPE,CUL,0.013381422,0.002876722,0.062245315
WWPE,NVE,0.021670293,0.002756587,0.170356182
