FID,Shape *,OBJECTID_1,OBJECTID,OBJECTID_2,OBJECTID_3,FEATURE_ID,CEM_ECP,ECP_TAG,SOURCE,MAP_SRC,ECO_SEC,BECUNIT,SDEC_1,DEC1,SDEC_2,DEC2,SDEC_3,DEC3,BHC20_1,BHC20_2,BHC20_3,BHC33_1,BHC33_2,BHC33_3,SDEC1_AREA,SDEC2_AREA,SDEC3_AREA,Area_m
3880,Polygon,66456,1938,0,0,0,81894,094A025_4874,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,175764.3187,0,0,175764.3251
3881,Polygon,66461,1945,0,0,0,81901,094A016_11436,G,TEM,PEL,BWBSmw1,6,AM:ap4,2,SE2b,2,SE2b,DYF,WGR,WGR,DYF-At,WGR,WGR,628984.6782,209661.5594,209661.5594,83477.99063
3882,Polygon,66462,1946,0,0,0,81902,094A016_20109,P,TEM,PEL,BWBSmw1,10,WW2,0, ,0, ,DSG, , ,DSG, , ,5461.3161,0,0,5461.315544
3883,Polygon,66464,1948,0,0,0,81904,094A025_3460,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,100498.8777,0,0,17210.25111
3884,Polygon,66468,1953,0,0,0,81909,094A016_3276,G,TEM,PEL,BWBSmw1,8,SH6,2,Fm023,0, ,CMF,RSH, ,CMF-Sw,RSH-Ac, ,153287.8552,38321.96379,0,191609.8433
3885,Polygon,66470,1956,0,0,0,81912,094A016_20152,P,TEM,PEL,BWBSmw1,10,Fm023,0, ,0, ,RSH, , ,RSH-Ac, , ,4267.43528,0,0,4267.444576
3886,Polygon,66473,1960,0,0,0,81916,094A015_20036,P,TEM,PEL,BWBSmw1,10,SC:ab6,0, ,0, ,DMF, , ,DMF-At, , ,57190.83281,0,0,57190.82112
3887,Polygon,66474,1962,0,0,0,81918,094A025_4875,P,TEM,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,14608.95324,0,0,14608.95028
3888,Polygon,66477,1970,0,0,0,81926,094A026_3527,V,TEM,PEL,BWBSmw1,8,WW2,2,AS3,0, ,DSG,DSS, ,DSG,DSS, ,47761.88928,11940.47232,0,59702.37176
3889,Polygon,66478,1971,0,0,0,81927,094A026_3607,P,TEM,PEL,BWBSmw1,5,CB1,5,WW2b,0, ,NVE,DSG, ,NVE,DSG, ,5685.97674,5685.97674,0,9072.131094
3890,Polygon,66480,1974,0,0,0,81930,094A025_4884,V,TEM,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,359670.5443,0,0,359670.4718
3891,Polygon,66483,1979,0,0,0,81935,094A026_3427,G,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,587006.8382,0,0,564214.6039
3892,Polygon,66484,1980,0,0,0,81936,094A026_3537,G,TEM,PEL,BWBSmw1,10,Fm026,0, ,0, ,RMF, , ,RMF-Ac, , ,38611.2816,0,0,38611.28929
3893,Polygon,66487,2098,0,0,0,81944,094A025_4888,P,TEM,PEL,BWBSmw1,10,AM:ap4,0, ,0, ,DYF, , ,DYF-At, , ,44699.75105,0,0,44485.35291
3894,Polygon,66496,2333,0,0,0,81957,094A016_20202,P,TEM,PEL,BWBSmw1,9,AS3,1,WW2b,0, ,DSS,DSG, ,DSS,DSG, ,49484.76782,5498.30754,0,54983.06917
3895,Polygon,66498,2374,0,0,0,81959,094A016_3237,P,TEM,PEL,BWBSmw1,10,AM:ap3,0, ,0, ,DSH, , ,DSH-At, , ,33042.54865,0,0,33042.55233
3896,Polygon,66500,1984,0,0,0,81961,094A026_4908,P,TEM,PEL,BWBSmw1,10,CF2,0, ,0, ,CUL, , ,CUL, , ,187670.5091,0,0,47503.30723
3897,Polygon,66502,1986,0,0,0,81963,094A026_3475,P,TEM,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,73010.4067,0,0,73010.38266
3898,Polygon,66504,1988,0,0,0,81965,094A025_3604,P,TEM,PEL,BWBSmw1,10,SW:as4,0, ,0, ,DYF, , ,DYF-At, , ,190145.8273,0,0,190073.395
3899,Polygon,66507,1994,0,0,0,81971,094A016_3418,P,TEM,PEL,BWBSmw1,7,AS3b,3,CB1,0, ,DSS,NVE, ,DSS,NVE, ,158747.926,68034.82544,0,226782.7345
