Station,MitProp,Visit,SurveyID,Year,Date,Time,BHC20_100,UTM_Northing,UTM_Easting,B-ATTW,B-BBWO,B-DOWO,B-HAWO,B-NOFL,B-PIWO,B-YBSA
WP18-050,No,1,WP18-050-1,2018,2018-06-10,5:39:00,DMF,612686,6236761,0,0,0,0,0,0,0
WP18-050,No,2,WP18-050-2,2018,2018-06-20,6:43:00,DMF,612686,6236761,0,0,0,1,1,0,0
WP18-051,No,1,WP18-051-1,2018,2018-06-06,7:13:00,DMF,612552,6235999,0,0,0,0,1,0,1
WP18-051,No,2,WP18-051-2,2018,2018-06-29,7:00:00,DMF,612552,6235999,0,0,0,0,0,0,1
WP18-052,No,1,WP18-052-1,2018,2018-06-06,6:33:00,DMF,612218,6236450,0,0,0,0,0,0,0
WP18-052,No,2,WP18-052-2,2018,2018-06-20,9:46:00,DMF,612218,6236450,0,0,0,0,0,0,1
WP18-053,No,1,WP18-053-1,2018,2018-06-10,6:31:00,DSH,612211,6236997,0,0,0,0,1,0,0
WP18-053,No,2,WP18-053-2,2018,2018-06-20,6:10:00,DSH,612211,6236997,0,0,0,0,1,0,0
WP18-054,No,1,WP18-054-1,2018,2018-06-10,9:09:00,DYF,611867,6236644,0,0,0,0,0,0,0
WP18-054,No,2,WP18-054-2,2018,2018-06-29,7:02:00,DYF,611867,6236644,0,0,0,0,0,1,2
WP18-055,No,1,WP18-055-1,2018,2018-06-10,7:15:00,DSH,611744,6237305,0,0,0,0,0,1,2
WP18-055,No,2,WP18-055-2,2018,2018-06-20,5:37:00,DSH,611744,6237305,0,0,0,0,1,1,2
WP18-056,No,1,WP18-056-1,2018,2018-06-10,8:03:00,DSH,611259,6237635,0,0,0,0,1,0,0
WP18-056,No,2,WP18-056-2,2018,2018-06-20,4:57:00,DSH,611259,6237635,0,0,0,0,1,0,0
WP18-057,No,1,WP18-057-1,2018,2018-06-10,9:21:00,CMF,611156,6236994,0,0,0,1,0,0,0
WP18-057,No,2,WP18-057-2,2018,2018-06-29,7:29:00,CMF,611156,6236994,0,0,0,0,0,0,2
WP18-058,No,1,WP18-058-1,2018,2018-06-03,6:27:00,DYF,610608,6237961,0,0,1,1,1,0,0
WP18-058,No,2,WP18-058-2,2018,2018-06-24,4:26:00,DYF,610608,6237961,0,0,1,1,0,0,0
WP18-059,No,1,WP18-059-1,2018,2018-06-10,8:46:00,DMF,610461,6236966,0,0,0,0,0,0,0
WP18-059,No,2,WP18-059-2,2018,2018-06-29,7:56:00,DMF,610461,6236966,0,0,0,0,0,0,0
WP18-060,No,1,WP18-060-1,2018,2018-06-03,5:22:00,RSH,609194,6236762,0,0,1,0,0,0,0
WP18-060,No,2,WP18-060-2,2018,2018-06-21,9:28:00,RSH,609194,6236762,0,0,0,0,0,0,0
WP18-061,No,1,WP18-061-1,2018,2018-06-03,6:44:00,DMF,609036,6238518,0,0,0,0,1,0,0
WP18-061,No,2,WP18-061-2,2018,2018-06-21,7:06:00,DMF,609036,6238518,0,0,0,0,2,1,1
