StationID,BHC20_100,area.x,BHC20_250,area.y,BHC33_100,area.x.x,BHC33_250,area.y.y
PC08-H-11,DYF,31415.73887,DYF,179980.101,DYF-At,31415.73887,DYF-At,179980.101
PC08-H-12,CMF,26668.44975,CMF,112148.4172,CMF-Pl,22078.85974,DYF-At,76885.86912
PC08-H-13,CMF,30996.09777,CMF,115847.0749,CMF-Sw,30080.48388,CMF-Sw,83207.09561
PC08-H-14,CMF,25476.94339,CMF,106123.6808,CMF-Sw,25476.94339,WAT,72937.14669
PC08-H-15,CYF,30703.84256,CYF,88154.83116,CYF-Sw,30703.84256,CYF-Sw,88154.83116
PC08-H-2,DYF,31400.26401,DYF,120337.5398,DYF-At,31400.26401,DYF-At,111358.0572
PC08-H-3,DYF,29300.85339,DYF,111155.2366,DYF-At,29300.85339,DYF-At,111138.5237
PC08-H-4,DYF,26164.17597,DYF,151862.1907,DYF-At,26164.17597,DYF-At,151862.1907
PC08-H-5,DYF,31415.62174,DYF,190627.7151,DYF-At,31415.62174,DYF-At,190627.7151
PC08-H-6,DYF,31415.62955,DYF,158654.0359,DYF-At,31415.62955,DYF-At,158654.0359
PC08-H-7,DYF,30762.79411,DYF,82942.95484,DYF-At,30762.79411,DYF-At,82942.95484
PC08-H-8,CMF,23495.58649,DYF,88027.47744,CMF-Sw,23495.58649,DYF-At,88027.47744
PC08-H-9,DYF,29948.611,DYF,101657.3635,DYF-At,29948.611,DYF-At,101657.3635
PC08-J-1,DYF,30903.55901,DYF,153436.2641,DYF-At,30903.55901,DYF-At,153436.2641
PC08-J-10,DYF,31415.46289,DYF,196348.5109,DYF-At,31415.46289,DYF-At,196348.5109
PC08-J-11,DYF,30972.5191,DYF,178302.6596,DYF-At,30972.5191,DYF-At,178302.6596
PC08-J-12,DYF,29445.83014,DYF,162856.7456,DYF-At,29445.83014,DYF-At,162856.7456
PC08-J-13,DYF,31415.66516,DYF,174963.33,DYF-At,31415.66516,DYF-At,174963.33
PC08-J-14,DYF,31415.54794,DYF,196316.9949,DYF-At,31415.54794,DYF-At,196316.9949
PC08-J-15,DYF,31415.5347,DYF,179724.237,DYF-At,31415.5347,DYF-At,179724.237
PC08-J-2,DYF,31415.68877,DYF,184067.3175,DYF-At,31415.68877,DYF-At,184067.3175
PC08-J-3,DYF,31415.58235,DYF,166126.4946,DYF-At,31415.58235,DYF-At,166126.4946
PC08-J-4,DYF,31415.62317,DYF,178383.5472,DYF-At,31415.62317,DYF-At,178383.5472
PC08-J-5,DYF,31415.46719,DYF,184969.2837,DYF-At,31415.46719,DYF-At,184969.2837
PC08-J-6,DYF,28055.25066,DYF,134791.6994,DYF-At,28055.25066,DYF-At,134791.6994
PC08-J-7,DYF,29024.12253,DYF,141047.6725,DYF-At,29024.12253,DYF-At,141047.6725
PC08-J-8,DYF,31415.6196,DYF,151872.3795,DYF-At,31415.6196,DYF-At,151872.3795
