StationID,BHC33_1,Area (m)
PC06-B-16,CSH-Sw,18323.59495
PC06-B-16,NVE,4180.31586
PC06-B-17,CMF-Sw,21393.89497
PC06-B-17,CSH-Sw,6189.650418
PC06-B-17,DSH-At,7.355553
PC06-B-17,NVE,3824.69199
PC06-B-18,CMF-Sw,8172.366817
PC06-B-18,DSH-At,23243.22665
PC06-B-1n,DYF-At,31415.45001
PC06-B-2,CYF-Sw,30807.01919
PC06-B-2,DYF-At,608.635557
PC06-B-3,CYF-Sw,31415.80682
PC06-B-4,CYF-Sw,31415.60442
PC06-B-5,CYF-Sw,31415.43081
PC06-B-6,CYF-Sw,24091.75601
PC06-B-6,WAT,7323.667216
PC06-B-7,CYF-Sw,27911.48143
PC06-B-7,WAT,3504.122347
PC06-B-8,DYF-Ac,2931.535482
PC06-B-8,DYF-At,28484.25129
PC06-B-9,CYF-Sw,8022.967739
PC06-B-9,DYF-Ac,23392.643
PC06-C-1,CYF-Sw,21248.42679
PC06-C-1,NVE,9270.146025
PC06-C-1,RSH-Ac,897.042888
PC06-C-10,DYF-At,31415.69955
PC06-C-10n,DYF-At,31415.5127
PC06-C-11,CYF-Sw,1115.153173
PC06-C-11,DYF-At,30300.43054
PC06-C-11n,DYF-At,31415.78449
PC06-C-12,CYF-Sw,25851.23586
PC06-C-12,DYF-At,5564.365141
PC06-C-12n,DYF-At,31415.65023
PC06-C-13,CYF-Sw,4201.486889
PC06-C-13,DYF-At,1560.3257
PC06-C-13,DYF-Ep,25653.71207
PC06-C-13n,CYF-Sw,4036.083241
PC06-C-13n,DYF-At,4949.359484
PC06-C-13n,DYF-Ep,22430.09555
PC06-C-14,CYF-Sw,29335.43647
PC06-C-14,DYF-Ac,808.555097
PC06-C-14,DYF-At,1271.529292
PC06-C-15,CYF-Sw,4220.682263
PC06-C-15,DYF-Ac,23131.25138
PC06-C-15,DYF-At,4063.64747
PC06-C-15n,CYF-Sw,229.528388
PC06-C-15n,DYF-Ac,10881.00701
PC06-C-15n,DYF-At,20305.06266
PC06-C-16,DYF-Ac,1704.251777
PC06-C-16,DYF-At,29711.18075
PC06-C-1n,CYF-Sw,12530.47736
PC06-C-1n,DYF-Ac,1544.789662
PC06-C-1n,DYF-At,4968.872643
PC06-C-1n,NVE,12371.4336
PC06-C-2,CYF-Sw,605.463045
PC06-C-2,DMF-At,1032.311834
PC06-C-2,DYF-At,28119.58722
PC06-C-2,NVE,1658.223969
PC06-C-3,DYF-Ac,30662.08838
PC06-C-3,NVE,12.706989
PC06-C-3,RSH-Ac,740.819422
PC06-C-4,DYF-Ac,7410.728552
PC06-C-4,DYF-At,20223.89573
PC06-C-4,RSH-Ac,3780.949957
PC06-C-4n,DYF-Ac,11718.74998
PC06-C-4n,DYF-At,19696.72006
PC06-C-5,DYF-Ac,19238.58346
PC06-C-5,DYF-At,5687.160266
PC06-C-5,NVE,5862.732745
PC06-C-5,WAT,627.092523
PC06-C-5n,DYF-At,31415.58894
PC06-C-6,DYF-At,31415.4658
PC06-C-6n,DYF-Ac,19463.98992
PC06-C-6n,DYF-At,5772.837615
PC06-C-6n,NVE,5651.399112
PC06-C-6n,WAT,527.309332
PC06-C-7,DYF-At,31415.65938
PC06-C-7n,DYF-At,31415.61791
PC06-C-8,DYF-At,31415.54132
PC06-C-9,DYF-At,31415.46626
PC06-C-9n,DYF-At,31415.55382
PC06-D-1,CYF-Sw,126.049239
PC06-D-1,DYF-At,4185.508285
PC06-D-1,DYF-Ep,17100.27864
PC06-D-1,NVE,10003.66762
PC06-D-10,CMF-Sw,1864.089054
PC06-D-10,CYF-Sw,25486.86637
PC06-D-10,DYF-At,4064.526617
PC06-D-11,CYF-Sw,1856.248476
PC06-D-11,DYF-At,29530.69471
PC06-D-11,NVE,28.564828
PC06-D-12,CMF-Sw,67.511583
PC06-D-12,DYF-At,24949.88894
PC06-D-12,NVE,6398.182275
PC06-D-13,DYF-At,15637.29191
PC06-D-13,DYF-Ep,15778.28783
PC06-D-13n,DYF-At,13366.80964
PC06-D-13n,DYF-Ep,18048.7567
PC06-D-14,DYF-At,7914.020643
PC06-D-14,DYF-Ep,23501.60717
PC06-D-15,DYF-At,31415.48117
PC06-D-15n,DYF-At,31415.60804
PC06-D-16,CYF-Sw,4888.241633
PC06-D-16,DYF-Ac,7693.053699
PC06-D-16,DYF-At,18834.14038
PC06-D-16n,DYF-At,31415.48431
PC06-D-2,DYF-At,29677.96486
PC06-D-2,DYF-Ep,1737.554965
PC06-D-2n,DYF-At,28218.74256
PC06-D-2n,DYF-Ep,3196.750003
PC06-D-3,DYF-At,31415.60895
PC06-D-3n,DYF-At,31415.57385
PC06-D-4,DYF-At,31415.68342
PC06-D-4n,DYF-At,31415.58442
PC06-D-5,CYF-Sw,8375.978067
PC06-D-5,DYF-At,23039.5119
PC06-D-6,CYF-Sw,17101.31114
PC06-D-6,DYF-At,14314.24464
PC06-D-6n,CYF-Sw,8330.796398
PC06-D-6n,DYF-At,23084.76479
PC06-D-7,CMF-Sw,6178.421386
PC06-D-7,CYF-Sw,25237.10615
PC06-D-8,CYF-Sw,31415.59982
PC06-D-9,CMF-Sw,24637.8453
PC06-D-9,CYF-Sw,6777.663316
